Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Plbd1,1.58858893265222,0.830602340373269,0.21240380007051,3.91048719513276,9.21101435010229e-5,1.5141393452222e-4
Ccni,1.62356166118345,0.82850639950228,0.204144151712585,4.05843808187431,4.94020279892896e-5,8.18662178108228e-5
Fam96a,1.63715949637176,0.828221371880066,0.204239739820997,4.05514310097509,5.01036196939675e-5,8.30025054911171e-5
Col3a1,1.52231847561497,0.828044375714089,0.224193646920928,3.69343372163502,2.2124619414362e-4,3.5900066317367e-4
Ccr2,1.6017217458215,0.821663444329439,0.211826016676544,3.87895432875042,1.0490644669219e-4,1.7193458453163e-4
Atp1a1,1.65901903353165,0.819537640352011,0.19882491828449,4.12190608412256,3.75750394112241e-5,6.2585100742370593e-05
Dleu2,1.5555223430152,0.815868840960576,0.205465226362093,3.97083660046087,7.16206894718602e-5,1.1808591252151e-4
Fam105a,1.61678124064114,0.811254368439573,0.203050126313189,3.99534037811076,6.46013710655347e-5,1.0668116322748e-4
Aamp,1.62089317288369,0.810112443988362,0.20351405851176,3.9806215350059,6.87353109488211e-5,1.1343608066798e-4
Cd200,1.54676190918751,0.809985559722153,0.213067264459073,3.80154859442398,1.4379452873394e-4,2.3463814941894e-4
Naaa,1.51644913143262,0.80811118056482,0.212621105941837,3.80071007995736,1.4428203543465e-4,2.3539685106076e-4
Rab1,1.57196085377048,0.80361151313299,0.204372401066248,3.9320941034132,8.42090870728733e-5,1.3860048384688e-4
Ssr1,1.60460107446274,0.797417954015868,0.204137745418348,3.90627393469879,9.37302501225617e-5,1.5400437697191e-4
Hcfc1r1,1.57953506904667,0.797291987630954,0.204093600442731,3.90650165366001,9.36420027960977e-5,1.5388359974677e-4
Mettl7a1,1.52038482035952,0.791504751166346,0.211081598344395,3.74975723783818,1.7700584212759e-4,2.8802072815026e-4
Emb,1.61618651286127,0.791165289112962,0.205785510256123,3.84461125629432,1.2074369572196e-4,1.9751867491966e-4
Irf5,1.60660203211694,0.790578298181657,0.208014952867645,3.8005839834249,1.4435548160412e-4,0.00023547987936672999
Sec61b,3.31007344972139,0.786275542068054,0.19296710476967,4.07466103099061,4.6081417994103e-5,7.6509224532194e-5
Slc6a6,1.54707110828199,0.784419342335083,0.205330088271034,3.82028444511091,1.3329785746068e-4,2.1774833858387e-4
Clec3b,1.49485565417996,0.784312707180708,0.223423503716692,3.51043061331292,4.4738155106262e-4,7.1708477368012e-4
Tmem66,2.12057912744463,0.772161259101805,0.189862816030334,4.06694304470043,4.76338790424311e-5,7.90365062306072e-5
Cbx3,1.57256595525105,0.771961943616107,0.204645845069892,3.7721847875898,1.6182433546733e-4,2.6364638924453e-4
1100001G20Rik,1.48815177154575,0.77112500869168,0.211581288484074,3.64458036065758,2.6782844286013e-4,4.3323968755187e-4
S100a16,1.48448338976043,0.765904735187734,0.205876749107689,3.7202099727498,1.9905721505655e-4,3.2339827656246e-4
1600029D21Rik,1.49359651028207,0.762171081795745,0.213333969777094,3.57266628747459,3.5336495370759e-4,5.6825787379964e-4
Tra2b,1.65121896581711,0.760974814263839,0.200692698599434,3.79174140152792,1.4959464028228e-4,2.4395002257842e-4
Ear1,1.5085746609079,0.760468737092046,0.212382961560789,3.58064852049999,3.4274245426603e-4,5.5168535654292e-4
Ptrf,1.48003665081331,0.759328208142542,0.208317998697977,3.64504369708077,2.6734637249964e-4,4.3252690669398e-4
Adrbk1,1.58913506152882,0.759184134331308,0.204711063511424,3.70856426276609,2.0843776394478e-4,3.3848036328878e-4
